ISIN,NOM,NAM,SECTOR,GLOBAL,US EQUITY,EUROPEAN EQUITY +  UK,JAPON EQUITY,EM GLOBAL,EM ASIAN EQUITY,LATIN AMERICAN EQUITY,ALTERNATIVE,TOTAL,ORO,PLATA,REAL ESTATE,CONTROL,RIESGO,USD,EUR,JPY,CAD,GBP,MXN,BRL,AUD,COP,TOTAL,,,,,,,,,,,,,,,
LU0389811539,AMUNDI INDEX EQUITY EUROPE,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0,0.8929,0,0,0.10710000000000001,0,0,0,0,1,,,,,,,,,,,,,,,
US46434V6395,ISHARES CURRENCY HEDGED  HEZU,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,USD,0.9999999999999999,0,0,0,0,0,0,0,0,0.9999999999999999,,,,,,,,,,,,,,,
LU1353442731,FIDELITY EUROPEAN DYNAMIC GROW,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.060708215732033145,0.5938458596050724,0,0,0.3454459246628944,0,0,0,0,1,,,,,,,,,,,,,,,
LU0248049172,JPM EUROPE STRATEGIC GROWTH IA,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.029799124969895088,0.7336783798241661,0,0,0.23652249520593902,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
LU1235105779,THEAM EUROPEAN EQUITY,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0.020823421067585522,0.7683798622486745,0,0,0.21079671668374023,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
DE0005933956,ISHARES EURO STOXX 50 UCITS ETFEVNZ,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,USD,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,
DE0002635307,ISHARES STOXX EUROPE 600 UCITS ETF,ETF Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0,0.7832203019116931,0,0,0.21677969808830835,0,0,0,0,1.0000000000000016,,,,,,,,,,,,,,,
FR0010589325,Groupama Avenir Euro,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0,0.9890873187024398,0,0,0.01091768068970942,0,0,0,0,1.0000049993921492,,,,,,,,,,,,,,,
LU0106235459,SCHRODER INTERNATIONAL SELECTION FUND EURO EQUIT,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR,0.003952424781071339,0.9466877820500574,0,0,0.04935979316887147,0,0,0,0,1.0000000000000002,,,,,,,,,,,,,,,
LU0870553533,DNCA Invest Europe Growth,FM Europe,EUROPEAN EQUITY,0,0,1,0,0,0,0,0,1,0,0,0,1,EUR/GBP,0,0.8313601379027444,0,0,0.1686398620972554,0,0,0,0,0.9999999999999998,,,,,,,,,,,,,,,
