isin,nemo,frecuencia,moneda
COL17CB0YD10,BPEMINHTA4,PV,COP
COL17CB0MOD4,BPEMINHTA3,PV,COP
COL17CB0INB8,BPEMINHTA4,PV,COP
COL40CB01G58,BPEMINHTA4,PV,COP
COL17CB0LER7,BPEMINHTA4,PV,COP
COL17CB0V4T1,BPEMINHTA4,PV,COP
COL40CB90042,BPEMINHTA4,PV,COP
COL40CB04HL1,BPEMINHTA4,PV,COP
COL17CB0YEU4,BPEMINHTA4,PV,COP
COL40CB50442,BPEMINHTA3,PV,COP
COL17CB0N9L7,BPEMINHTA4,PV,COP
COL40CB73600,BPEMINHTA4,PV,COP
COL40CB02SI8,BPEMINHTA4,PV,COP
COL17CB0LDN8,BPEMINHTA4,PV,COP
COL17CB0J6E4,BPEMINHTA4,PV,COP
COL40CB47968,BPEMINHTA4,PV,COP
COL40CB051Y0,BPEMINHTA3,PV,COP
COL17CB0ZCW1,BPEMINHTA3,PV,COP
COL40CB88921,BPEMINHTA3,PV,COP
COL17CB0T9S6,BPEMINHTA4,PV,COP
COL40CB01FI7,BPEMINHTA4,PV,COP
COL40CB93095,BPEMINHTA4,PV,COP
COL40CB31012,BPEMINHTA4,PV,COP
COL17CB0NB49,BPEMINHTA4,PV,COP
COL17CB0S628,BPEMINHTA4,PV,COP
COL40CB00QS5,BPEMINHTA4,PV,COP
COL40CB91990,BPEMINHTA4,PV,COP
COL40CB044J6,BPEMINHTA4,PV,COP
COL17CB0XSI1,BPEMINHTA4,PV,COP
COL40CB86651,BPEMINHTA4,PV,COP
COL17CB0HEQ7,BPEMINHTA4,PV,COP
COL17CB0LJC8,BPEMINHTA4,PV,COP
COL40CB044I8,BPEMINHTA4,PV,COP
COL40CB039M0,BPEMINHTA4,PV,COP
COL40CB79748,BPEMINHTA3,PV,COP
COL40CB47935,BPEMINHTA4,PV,COP
COL40CB0EPD9,BPEISSA3,PV,COP
COL17CB0R6W6,BPEMINHTA4,PV,COP
COL17CB0BFI4,BPEMINHTA4,PV,COP
COL40CB88384,BPEMINHTA4,PV,COP
COL40CB04Z37,BPEMINHTA4,PV,COP
COL40CB89275,BPEMINHTA3,PV,COP
COL17CB0XSK7,BPEMINHTA4,PV,COP
COL40CB92808,BPEMINHTA3,PV,COP
COL17CB0S6J2,BPEMINHTA4,PV,COP
COL40CB00R23,BPEMINHTA4,PV,COP
COL40CB99282,BPEMINHTA4,PV,COP
COL17CB0RH98,BPEMINHTA4,PV,COP
COL17CB0K229,BPEMINHTA3,PV,COP
COL17CB0KHO9,BPEMINHTA4,PV,COP
COL17CB0R6P0,BPEMINHTA4,PV,COP
COL17CB0LQG4,BPEMINHTA4,PV,COP
COL40CB62876,BPEMINHTA4,PV,COP
COL40CB99092,BPEMINHTA3,PV,COP
COL17CB0MZV2,BPEMINHTA4,PV,COP
COL17CB0V580,BPEMINHTA3,PV,COP
COL40CB02JN7,BPEMINHTA3,PV,COP
COL17CB0KAN6,BPEMINHTA4,PV,COP
COL17CB0R968,BPEMINHTA4,PV,COP
COL40CB04U32,BPEMINHTA3,PV,COP
COL17CB0RFV3,BPEMINHTA4,PV,COP
COL40CB029L3,BPEMINHTA4,PV,COP
COL17CB0UNT5,BPEMINHTA4,PV,COP
COL17CB0TZA1,BPEMINHTA3,PV,COP
COL40CB01T53,BPEMINHTA3,PV,COP
COL17CB0MIG9,BPEMINHTA4,PV,COP
COL17CB0MJ83,BPEMINHTA4,PV,COP
COL17CB0LN13,BPEMINHTA4,PV,COP
COL17CB0L0B9,BPEMINHTA4,PV,COP
COL17CB0QI07,BPEMINHTA4,PV,COP
COL40CB02A79,BPEMINHTA3,PV,COP
COL17CB0UP02,BPEMINHTA3,PV,COP
COL40CB05F14,BPEMINHTA4,PV,COP
COL17CB0ZU75,BPEMINHTA4,PV,COP
COL17CB0MIQ8,BPEMINHTA4,PV,COP
COL17CB0UM21,BPEMINHTA4,PV,COP
COL40CB94200,BPEMINHTA3,PV,COP
COL40CB88657,BPEMINHTA3,PV,COP
COL40CB93046,BPEMINHTA4,PV,COP
COL17CB0RJA9,BPEMINHTA3,PV,COP
COL40CB00DT1,BPEMINHTA3,PV,COP
COL40CB01FT4,BPEMINHTA4,PV,COP
COL17CB0TAA4,BPEMINHTA4,PV,COP
COL17CB0M6Z4,BPEMINHTA4,PV,COP
COL17CB0RCD8,BPEMINHTA4,PV,COP
COL17CB0Z284,BPEMINHTA4,PV,COP
COL17CB0KUV7,BPEMINHTA4,PV,COP
COL17CB0MIL9,BPEMINHTA4,PV,COP
COL17CB0YEV2,BPEMINHTA4,PV,COP
COL40CB04HM9,BPEMINHTA4,PV,COP
COL40CB92444,BPEMINHTA4,PV,COP
COL17CB0TBU0,BPEMINHTA3,PV,COP
COL17CB0MI68,BPEMINHTA4,PV,COP
COL17CB0U9J2,BPEMINHTA4,PV,COP
COL17CB0V390,BPEMINHTA4,PV,COP
COL40CB02IL3,BPEMINHTA4,PV,COP
COL40CB48107,BPEMINHTA4,PV,COP
COL40CB67297,BPEMINHTA4,PV,COP
COL17CB0MDO4,BPEMINHTA4,PV,COP
COL17CB0V1V3,BPEMINHTA4,PV,COP
COL40CB02HY8,BPEMINHTA4,PV,COP
COL17CB0MKH3,BPEMINHTA4,PV,COP
COL17CB0RD19,BPEMINHTA4,PV,COP
COL40CB44361,BPEMINHTA4,PV,COP
COL17CB0RCI7,BPEMINHTA4,PV,COP
COL17CB0R5W8,BPEMINHTA4,PV,COP
COL17CB0MNW6,BPEMINHTA4,PV,COP
COL17CB0KVR3,BPEMINHTA4,PV,COP
COL17CB0LS00,BPEMINHTA4,PV,COP
COL17CB0U947,BPEMINHTA4,PV,COP
COL40CB89648,BPEMINHTA4,PV,COP
COL17CB0I5A5,BPEMINHTA4,PV,COP
COL40CB86107,BPEMINHTA3,PV,COP
COL17CB0U038,BPEMINHTA4,PV,COP
COL40CB01TG2,BPEMINHTA4,PV,COP
COL17CB0WXJ1,BPEMINHTA4,PV,COP
COL17CB0CZ93,BPEMINHTA3,PV,COP
COL17CB0KIH1,BPEMINHTA3,PV,COP
COL17CB0QKW3,BPEMINHTA4,PV,COP
COL17CB0XUZ1,BPEMINHTA4,PV,COP
COL40CB046C6,BPEMINHTA4,PV,COP
COL40CB04HP2,BPEMINHTA4,PV,COP
COL17CB0YEY6,BPEMINHTA4,PV,COP
COL17CB0V5D2,BPEMINHTA3,PV,COP
COL40CB02JP2,BPEMINHTA3,PV,COP
COL17CB0KPD5,BPEMINHTA4,PV,COP
COL17CB0IET9,BPEMINHTA4,PV,COP
COL17CB0L5Y0,BPEMINHTA4,PV,COP
COL40CB63197,BPEMINHTA4,PV,COP
COL17CB0JVC7,BPEMINHTA4,PV,COP
COL40CB99548,BPEMINHTA4,PV,COP
COL17CB0LNY4,BPEMINHTA4,PV,COP
COL17CB0TYK3,BPEMINHTA4,PV,COP
COL40CB99563,BPEMINHTA4,PV,COP
COL17CB0WWL9,BPEMINHTA4,PV,COP
COL17CB0VLN0,BPEMINHTA4,PV,COP
COL17CB0J213,BPEMINHTA3,PV,COP
COL17CB0LNW8,BPEMINHTA4,PV,COP
COL40CB92113,BPEMINHTA3,PV,COP
COL17CB0M4H7,BPEMINHTA4,PV,COP
COL17CB0MN53,BPEMINHTA4,PV,COP
COL40CB93061,BPEMINHTA4,PV,COP
COL17CB0UM05,BPEMINHTA4,PV,COP
COL40CB028B6,BPEMINHTA4,PV,COP
COL17CB0LQP5,BPEMINHTA4,PV,COP
COL40CB44072,BPEMINHTA4,PV,COP
COL17CB0I9S9,BPEMINHTA4,PV,COP
COL17CB0N5Q4,BPEMINHTA4,PV,COP
COL17CB0M8W7,BPEMINHTA3,PV,COP
COL17CB0O5J8,BPEMINHTA3,PV,COP
COL17CB0LMK5,BPEMINHTA3,PV,COP
COL40CB04H54,BPEMINHTA4,PV,COP
COL17CB0YDY8,BPEMINHTA4,PV,COP
COL17CB0HZJ7,BPEMINHTA4,PV,COP
COL17CB0DV62,BPEMINHTA4,PV,COP
COL40CB25022,BPEMINHTA4,PV,COP
COL40CB01GH7,BPEMINHTA4,PV,COP
COL17CB0TBR6,BPEMINHTA4,PV,COP
COL17CB0O4A0,BPEMINHTA4,PV,COP
COL17CB0IVK2,BPEMINHTA4,PV,COP
COL40CB027P8,BPEMINHTA4,PV,COP
COL17CB0V5W2,BPEMINHTA4,PV,COP
COL40CB02K02,BPEMINHTA4,PV,COP
COL17CB0KC82,BPEMINHTA4,PV,COP
