nemo_o_isin,clase_inversion,moneda,tasa_facial,ubicacion,clasificacion,riesgo,clase
BGLT10250435,EM BONDS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US91282CNV99,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
US91282CNX55,TREASURIES-MULTILATERALES-AGENCIAS,USD,TASA FIJA,INTERNACIONAL,R FIJA,TASA FIJA,R FIJA
CORM9PT00040,Fondo de Capital Privado Colombia,COP,N/A,NACIONAL,R VARIABLE,VARIABLE,R VARIABLE
US4642852044,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
TCO364201026,TF TES,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
STCE325SA048,CORPORATIVO LOCAL,COP,TASA FIJA,NACIONAL,R FIJA,TASA FIJA,R FIJA
CTMP5257D016,Inflacion-CORPORATIVO LOCAL,UVR,IPC,NACIONAL,R FIJA,INFLACIÓN,R FIJA
TB DISCOVER V PR,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
TB COINVEST OPPORTUNITIES I PR,Fondo de Capital Privado,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
ICG EUROPE FUND IX FEEDER SCSP,Fondo de Capital Privado,EUR,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
US78464A6982,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
IE00B27YCK28,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
IE00BFNM3J75,Fondo Mutuo o Fondo Indice,USD,N/A,INTERNACIONAL,R VARIABLE,VARIABLE,R VARIABLE
